File,Red,Green,Blue
../data/ColorCast/TrainingImages/img0059.jpg,-3,-9,4
../data/ColorCast/TrainingImages/img0060.jpg,-28,-22,20
../data/ColorCast/TrainingImages/img0061.jpg,-4,34,-43
../data/ColorCast/TrainingImages/img0062.jpg,4,34,6
../data/ColorCast/TrainingImages/img0063.jpg,-16,12,-11
../data/ColorCast/TrainingImages/img0064.jpg,18,-38,10
../data/ColorCast/TrainingImages/img0065.jpg,-42,16,-2
../data/ColorCast/TrainingImages/img0066.jpg,-54,2,-13
../data/ColorCast/TrainingImages/img0067.jpg,12,48,20
../data/ColorCast/TrainingImages/img0068.jpg,9,-23,15
../data/ColorCast/TrainingImages/img0069.jpg,24,-27,14
../data/ColorCast/TrainingImages/img0070.jpg,1,-5,26
../data/ColorCast/TrainingImages/img0071.jpg,-3,-2,-26
../data/ColorCast/TrainingImages/img0072.jpg,-16,34,-24
../data/ColorCast/TrainingImages/img0073.jpg,-3,36,-12
../data/ColorCast/TrainingImages/img0074.jpg,38,32,-35
../data/ColorCast/TrainingImages/img0075.jpg,-2,0,-20
../data/ColorCast/TrainingImages/img0076.jpg,-18,-10,-28
../data/ColorCast/TrainingImages/img0077.jpg,-7,18,26
../data/ColorCast/TrainingImages/img0078.jpg,-29,-12,51
../data/ColorCast/TrainingImages/img0079.jpg,3,10,-19
../data/ColorCast/TrainingImages/img0080.jpg,33,-4,-19
../data/ColorCast/TrainingImages/img0081.jpg,-3,33,-9
../data/ColorCast/TrainingImages/img0082.jpg,11,25,-15
../data/ColorCast/TrainingImages/img0083.jpg,-5,12,-11
../data/ColorCast/TrainingImages/img0084.jpg,-25,44,14
../data/ColorCast/TrainingImages/img0085.jpg,49,-59,-7
../data/ColorCast/TrainingImages/img0086.jpg,0,-34,20
../data/ColorCast/TrainingImages/img0087.jpg,-21,-7,-44
../data/ColorCast/TrainingImages/img0088.jpg,-32,-23,-13
../data/ColorCast/TrainingImages/img0089.jpg,13,-14,-14
../data/ColorCast/TrainingImages/img0090.jpg,-76,2,-26
../data/ColorCast/TrainingImages/img0091.jpg,7,-12,9
../data/ColorCast/TrainingImages/img0092.jpg,-52,34,-66
../data/ColorCast/TrainingImages/img0093.jpg,-27,32,-47
../data/ColorCast/TrainingImages/img0094.jpg,11,47,40
../data/ColorCast/TrainingImages/img0095.jpg,13,68,-6
../data/ColorCast/TrainingImages/img0096.jpg,34,-10,14
../data/ColorCast/TrainingImages/img0097.jpg,-66,38,11
../data/ColorCast/TrainingImages/img0098.jpg,15,-41,5
../data/ColorCast/TrainingImages/img0099.jpg,-37,7,-39
../data/ColorCast/TrainingImages/img0100.jpg,-26,-16,33
../data/ColorCast/TrainingImages/img0101.jpg,-8,4,6
../data/ColorCast/TrainingImages/img0102.jpg,-39,4,8
../data/ColorCast/TrainingImages/img0103.jpg,-7,-10,-1
../data/ColorCast/TrainingImages/img0104.jpg,32,1,3
../data/ColorCast/TrainingImages/img0105.jpg,0,-30,-2
../data/ColorCast/TrainingImages/img0106.jpg,41,-11,-41
../data/ColorCast/TrainingImages/img0107.jpg,-11,-10,53
../data/ColorCast/TrainingImages/img0108.jpg,-34,11,14
../data/ColorCast/TrainingImages/img0109.jpg,31,9,34
../data/ColorCast/TrainingImages/img0110.jpg,-10,-19,-7
../data/ColorCast/TrainingImages/img0111.jpg,16,-9,-10
../data/ColorCast/TrainingImages/img0112.jpg,31,35,-9
../data/ColorCast/TrainingImages/img0113.jpg,16,-16,-16
../data/ColorCast/TrainingImages/img0114.jpg,-11,-12,38
../data/ColorCast/TrainingImages/img0115.jpg,31,15,34
../data/ColorCast/TrainingImages/img0116.jpg,-8,-24,-29
../data/ColorCast/TrainingImages/img0117.jpg,-19,-21,-32
../data/ColorCast/TrainingImages/img0118.jpg,8,-4,6
../data/ColorCast/TrainingImages/img0119.jpg,-29,14,-21
../data/ColorCast/TrainingImages/img0120.jpg,-8,20,5
../data/ColorCast/TrainingImages/img0121.jpg,-13,4,7
../data/ColorCast/TrainingImages/img0122.jpg,64,3,-10
../data/ColorCast/TrainingImages/img0123.jpg,18,19,-14
../data/ColorCast/TrainingImages/img0124.jpg,22,-4,27
../data/ColorCast/TrainingImages/img0125.jpg,-11,-8,36
../data/ColorCast/TrainingImages/img0126.jpg,12,19,12
../data/ColorCast/TrainingImages/img0127.jpg,-22,-2,7
../data/ColorCast/TrainingImages/img0128.jpg,5,-19,-10
../data/ColorCast/TrainingImages/img0129.jpg,18,-1,-23
../data/ColorCast/TrainingImages/img0130.jpg,-14,-9,-7
../data/ColorCast/TrainingImages/img0131.jpg,-17,54,-2
../data/ColorCast/TrainingImages/img0132.jpg,-11,31,-13
../data/ColorCast/TrainingImages/img0133.jpg,13,-35,22
../data/ColorCast/TrainingImages/img0134.jpg,-1,-5,-45
../data/ColorCast/TrainingImages/img0135.jpg,-30,-12,46
../data/ColorCast/TrainingImages/img0136.jpg,12,-6,11
../data/ColorCast/TrainingImages/img0137.jpg,-21,-42,-8
../data/ColorCast/TrainingImages/img0138.jpg,21,1,-26
../data/ColorCast/TrainingImages/img0139.jpg,19,28,-19
../data/ColorCast/TrainingImages/img0140.jpg,54,17,-8
../data/ColorCast/TrainingImages/img0141.jpg,13,-8,-7
../data/ColorCast/TrainingImages/img0142.jpg,-27,-23,-9
../data/ColorCast/TrainingImages/img0143.jpg,-8,-7,9
../data/ColorCast/TrainingImages/img0144.jpg,-28,14,-7
../data/ColorCast/TrainingImages/img0145.jpg,-4,-17,30
../data/ColorCast/TrainingImages/img0146.jpg,-8,-17,33
../data/ColorCast/TrainingImages/img0147.jpg,36,-9,1
../data/ColorCast/TrainingImages/img0148.jpg,-65,-49,21
../data/ColorCast/TrainingImages/img0149.jpg,-7,13,6
../data/ColorCast/TrainingImages/img0150.jpg,-43,-21,26
../data/ColorCast/TrainingImages/img0151.jpg,28,-2,-10
../data/ColorCast/TrainingImages/img0152.jpg,5,26,8
../data/ColorCast/TrainingImages/img0153.jpg,-18,13,-37
../data/ColorCast/TrainingImages/img0154.jpg,-13,18,-14
../data/ColorCast/TrainingImages/img0155.jpg,13,-13,-18
../data/ColorCast/TrainingImages/img0156.jpg,61,11,-29
../data/ColorCast/TrainingImages/img0157.jpg,22,-16,-15
../data/ColorCast/TrainingImages/img0158.jpg,4,29,14
../data/ColorCast/TrainingImages/img0159.jpg,-22,-16,-7
../data/ColorCast/TrainingImages/img0160.jpg,-11,26,-28
../data/ColorCast/TrainingImages/img0161.jpg,3,36,4
../data/ColorCast/TrainingImages/img0162.jpg,21,27,-7
../data/ColorCast/TrainingImages/img0163.jpg,19,-13,-4
../data/ColorCast/TrainingImages/img0164.jpg,34,-39,42
../data/ColorCast/TrainingImages/img0165.jpg,-1,-7,-20
../data/ColorCast/TrainingImages/img0166.jpg,48,2,20
../data/ColorCast/TrainingImages/img0167.jpg,21,65,-22
../data/ColorCast/TrainingImages/img0168.jpg,-16,8,-6
../data/ColorCast/TrainingImages/img0169.jpg,25,-10,-1
../data/ColorCast/TrainingImages/img0170.jpg,9,-5,49
../data/ColorCast/TrainingImages/img0171.jpg,-43,-10,-15
../data/ColorCast/TrainingImages/img0172.jpg,-24,-27,28
../data/ColorCast/TrainingImages/img0173.jpg,1,-56,55
../data/ColorCast/TrainingImages/img0174.jpg,13,-54,10
../data/ColorCast/TrainingImages/img0175.jpg,-7,-33,1
../data/ColorCast/TrainingImages/img0176.jpg,5,5,-10
../data/ColorCast/TrainingImages/img0177.jpg,2,4,30
../data/ColorCast/TrainingImages/img0178.jpg,-19,21,16
../data/ColorCast/TrainingImages/img0179.jpg,-22,4,17
../data/ColorCast/TrainingImages/img0180.jpg,5,-19,1
../data/ColorCast/TrainingImages/img0181.jpg,17,-23,38
../data/ColorCast/TrainingImages/img0182.jpg,-21,2,-12
../data/ColorCast/TrainingImages/img0183.jpg,-12,19,-54
../data/ColorCast/TrainingImages/img0184.jpg,16,2,15
../data/ColorCast/TrainingImages/img0185.jpg,2,-26,-36
../data/ColorCast/TrainingImages/img0186.jpg,16,-1,-7
../data/ColorCast/TrainingImages/img0187.jpg,-21,-26,29
../data/ColorCast/TrainingImages/img0188.jpg,-8,31,15
../data/ColorCast/TrainingImages/img0189.jpg,22,14,39
../data/ColorCast/TrainingImages/img0190.jpg,10,32,16
../data/ColorCast/TrainingImages/img0191.jpg,12,5,5
../data/ColorCast/TrainingImages/img0192.jpg,-12,2,28
../data/ColorCast/TrainingImages/img0193.jpg,-23,-4,-7
../data/ColorCast/TrainingImages/img0194.jpg,-9,-31,2
../data/ColorCast/TrainingImages/img0195.jpg,-5,14,4
../data/ColorCast/TrainingImages/img0196.jpg,-33,-47,2
../data/ColorCast/TrainingImages/img0197.jpg,36,27,-1
../data/ColorCast/TrainingImages/img0198.jpg,17,-4,-17
../data/ColorCast/TrainingImages/img0199.jpg,-12,-35,13
../data/ColorCast/TrainingImages/img0200.jpg,-25,-1,51
../data/ColorCast/TrainingImages/img0201.jpg,-59,-16,-20
../data/ColorCast/TrainingImages/img0202.jpg,67,65,-34
../data/ColorCast/TrainingImages/img0203.jpg,33,10,2
../data/ColorCast/TrainingImages/img0204.jpg,17,45,-9
../data/ColorCast/TrainingImages/img0205.jpg,12,9,-4
../data/ColorCast/TrainingImages/img0206.jpg,-28,-1,-18
../data/ColorCast/TrainingImages/img0207.jpg,-11,41,-2
../data/ColorCast/TrainingImages/img0208.jpg,12,-13,31
../data/ColorCast/TrainingImages/img0209.jpg,10,-13,-20
../data/ColorCast/TrainingImages/img0210.jpg,28,16,14
../data/ColorCast/TrainingImages/img0211.jpg,-33,-27,21
../data/ColorCast/TrainingImages/img0212.jpg,20,-3,-17
../data/ColorCast/TrainingImages/img0213.jpg,-42,-32,-33
../data/ColorCast/TrainingImages/img0214.jpg,51,39,-22
../data/ColorCast/TrainingImages/img0215.jpg,-16,15,23
../data/ColorCast/TrainingImages/img0216.jpg,23,-36,56
../data/ColorCast/TrainingImages/img0217.jpg,-25,5,7
../data/ColorCast/TrainingImages/img0218.jpg,32,26,8
../data/ColorCast/TrainingImages/img0219.jpg,2,19,-15
../data/ColorCast/TrainingImages/img0220.jpg,0,-14,-8
../data/ColorCast/TrainingImages/img0221.jpg,24,-5,25
../data/ColorCast/TrainingImages/img0222.jpg,-3,20,-26
../data/ColorCast/TrainingImages/img0223.jpg,0,-2,-25
../data/ColorCast/TrainingImages/img0224.jpg,20,26,-6
../data/ColorCast/TrainingImages/img0225.jpg,-31,-20,-16
../data/ColorCast/TrainingImages/img0226.jpg,-2,-5,19
../data/ColorCast/TrainingImages/img0227.jpg,-2,31,17
../data/ColorCast/TrainingImages/img0228.jpg,8,29,35
../data/ColorCast/TrainingImages/img0229.jpg,-25,12,-29
../data/ColorCast/TrainingImages/img0230.jpg,34,-45,10
../data/ColorCast/TrainingImages/img0231.jpg,31,0,-25
../data/ColorCast/TrainingImages/img0232.jpg,8,6,22
../data/ColorCast/TrainingImages/img0233.jpg,-37,37,8
../data/ColorCast/TrainingImages/img0234.jpg,-35,15,-16
../data/ColorCast/TrainingImages/img0235.jpg,-37,6,30
../data/ColorCast/TrainingImages/img0236.jpg,15,-25,9
../data/ColorCast/TrainingImages/img0237.jpg,13,-21,66
../data/ColorCast/TrainingImages/img0238.jpg,-6,-30,1
../data/ColorCast/TrainingImages/img0239.jpg,15,-25,-20
../data/ColorCast/TrainingImages/img0240.jpg,4,45,11
../data/ColorCast/TrainingImages/img0241.jpg,-23,-16,3
../data/ColorCast/TrainingImages/img0242.jpg,38,3,0
../data/ColorCast/TrainingImages/img0243.jpg,7,16,3
../data/ColorCast/TrainingImages/img0244.jpg,34,49,20
../data/ColorCast/TrainingImages/img0245.jpg,15,-19,-5
../data/ColorCast/TrainingImages/img0246.jpg,-12,10,-18
../data/ColorCast/TrainingImages/img0247.jpg,13,-32,30
../data/ColorCast/TrainingImages/img0248.jpg,10,27,-2
../data/ColorCast/TrainingImages/img0249.jpg,21,5,41
../data/ColorCast/TrainingImages/img0250.jpg,16,3,-33
../data/ColorCast/TrainingImages/img0251.jpg,10,-22,4
../data/ColorCast/TrainingImages/img0252.jpg,30,-48,-17
../data/ColorCast/TrainingImages/img0253.jpg,38,14,-21
../data/ColorCast/TrainingImages/img0254.jpg,-19,-22,22
../data/ColorCast/TrainingImages/img0255.jpg,12,41,0
../data/ColorCast/TrainingImages/img0256.jpg,-22,-35,-17
../data/ColorCast/TrainingImages/img0257.jpg,40,-13,-11
../data/ColorCast/TrainingImages/img0258.jpg,-9,-14,17
../data/ColorCast/TrainingImages/img0259.jpg,-1,-11,-28
../data/ColorCast/TrainingImages/img0260.jpg,6,-13,-8
../data/ColorCast/TrainingImages/img0261.jpg,-21,-10,4
../data/ColorCast/TrainingImages/img0262.jpg,-34,38,21
../data/ColorCast/TrainingImages/img0263.jpg,3,-14,50
../data/ColorCast/TrainingImages/img0264.jpg,-4,5,11
../data/ColorCast/TrainingImages/img0265.jpg,-8,-19,46
../data/ColorCast/TrainingImages/img0266.jpg,-30,-1,-18
../data/ColorCast/TrainingImages/img0267.jpg,-8,33,-9
../data/ColorCast/TrainingImages/img0268.jpg,-27,-27,22
../data/ColorCast/TrainingImages/img0269.jpg,33,-22,18
../data/ColorCast/TrainingImages/img0270.jpg,-58,5,-12
../data/ColorCast/TrainingImages/img0271.jpg,19,-24,28
../data/ColorCast/TrainingImages/img0272.jpg,0,-12,3
../data/ColorCast/TrainingImages/img0273.jpg,-40,-5,-28
../data/ColorCast/TrainingImages/img0274.jpg,36,-1,22
../data/ColorCast/TrainingImages/img0275.jpg,-2,6,10
../data/ColorCast/TrainingImages/img0276.jpg,64,9,-24
../data/ColorCast/TrainingImages/img0277.jpg,-27,-37,-3
../data/ColorCast/TrainingImages/img0278.jpg,-10,16,33
../data/ColorCast/TrainingImages/img0279.jpg,-27,35,3
../data/ColorCast/TrainingImages/img0280.jpg,11,-7,12
../data/ColorCast/TrainingImages/img0281.jpg,39,10,34
../data/ColorCast/TrainingImages/img0282.jpg,13,18,-38
../data/ColorCast/TrainingImages/img0283.jpg,8,9,-41
../data/ColorCast/TrainingImages/img0284.jpg,36,10,-47
../data/ColorCast/TrainingImages/img0285.jpg,3,-1,-33
../data/ColorCast/TrainingImages/img0286.jpg,-39,-17,7
../data/ColorCast/TrainingImages/img0287.jpg,-8,-12,20
../data/ColorCast/TrainingImages/img0288.jpg,21,14,-70
../data/ColorCast/TrainingImages/img0289.jpg,0,7,16
../data/ColorCast/TrainingImages/img0290.jpg,46,-5,-4
../data/ColorCast/TrainingImages/img0291.jpg,36,13,5
../data/ColorCast/TrainingImages/img0292.jpg,-18,-12,-36
../data/ColorCast/TrainingImages/img0293.jpg,-49,-34,44
../data/ColorCast/TrainingImages/img0294.jpg,-11,-21,54
../data/ColorCast/TrainingImages/img0295.jpg,-29,-26,-12
../data/ColorCast/TrainingImages/img0296.jpg,17,-35,18
../data/ColorCast/TrainingImages/img0297.jpg,28,7,26
../data/ColorCast/TrainingImages/img0298.jpg,-12,7,23
../data/ColorCast/TrainingImages/img0299.jpg,-3,22,18
../data/ColorCast/TrainingImages/img0300.jpg,56,5,1
../data/ColorCast/TrainingImages/img0301.jpg,0,-2,-47
../data/ColorCast/TrainingImages/img0302.jpg,4,-5,-21
../data/ColorCast/TrainingImages/img0303.jpg,-25,-2,-29
../data/ColorCast/TrainingImages/img0304.jpg,24,-7,-11
../data/ColorCast/TrainingImages/img0305.jpg,-54,-4,-52
../data/ColorCast/TrainingImages/img0306.jpg,-17,-14,41
../data/ColorCast/TrainingImages/img0307.jpg,-5,-52,-36
../data/ColorCast/TrainingImages/img0308.jpg,21,45,13
../data/ColorCast/TrainingImages/img0309.jpg,-13,-10,28
../data/ColorCast/TrainingImages/img0310.jpg,-7,17,11
../data/ColorCast/TrainingImages/img0311.jpg,-9,-26,-18
../data/ColorCast/TrainingImages/img0312.jpg,39,-4,54
../data/ColorCast/TrainingImages/img0313.jpg,-12,-29,-5
../data/ColorCast/TrainingImages/img0314.jpg,-11,10,-55
../data/ColorCast/TrainingImages/img0315.jpg,16,-10,-5
../data/ColorCast/TrainingImages/img0316.jpg,-1,-3,0
../data/ColorCast/TrainingImages/img0317.jpg,-13,-3,-12
../data/ColorCast/TrainingImages/img0318.jpg,1,9,-23
../data/ColorCast/TrainingImages/img0319.jpg,1,2,-27
../data/ColorCast/TrainingImages/img0320.jpg,1,-27,-10
../data/ColorCast/TrainingImages/img0321.jpg,24,-14,-1
../data/ColorCast/TrainingImages/img0322.jpg,-32,-12,12
../data/ColorCast/TrainingImages/img0323.jpg,-11,-27,-33
../data/ColorCast/TrainingImages/img0324.jpg,80,-26,-2
../data/ColorCast/TrainingImages/img0325.jpg,-35,2,-38
../data/ColorCast/TrainingImages/img0326.jpg,17,-22,18
../data/ColorCast/TrainingImages/img0327.jpg,-10,-16,-32
../data/ColorCast/TrainingImages/img0328.jpg,0,-19,11
../data/ColorCast/TrainingImages/img0329.jpg,0,-23,-9
../data/ColorCast/TrainingImages/img0330.jpg,-1,7,-41
../data/ColorCast/TrainingImages/img0331.jpg,17,-11,-23
../data/ColorCast/TrainingImages/img0332.jpg,20,-14,24
../data/ColorCast/TrainingImages/img0333.jpg,13,-1,-41
../data/ColorCast/TrainingImages/img0334.jpg,-13,15,29
../data/ColorCast/TrainingImages/img0335.jpg,11,-7,-4
../data/ColorCast/TrainingImages/img0336.jpg,32,-15,-48
../data/ColorCast/TrainingImages/img0337.jpg,-6,32,-22
../data/ColorCast/TrainingImages/img0338.jpg,-30,-51,-6
../data/ColorCast/TrainingImages/img0339.jpg,5,22,-43
../data/ColorCast/TrainingImages/img0340.jpg,30,-15,8
../data/ColorCast/TrainingImages/img0341.jpg,-11,11,-12
../data/ColorCast/TrainingImages/img0342.jpg,37,34,-31
../data/ColorCast/TrainingImages/img0343.jpg,-27,22,-8
../data/ColorCast/TrainingImages/img0344.jpg,18,-30,-16
../data/ColorCast/TrainingImages/img0345.jpg,-26,-16,-8
../data/ColorCast/TrainingImages/img0346.jpg,0,78,3
../data/ColorCast/TrainingImages/img0347.jpg,15,-30,-14
../data/ColorCast/TrainingImages/img0348.jpg,21,2,48
../data/ColorCast/TrainingImages/img0349.jpg,-48,-29,-35
../data/ColorCast/TrainingImages/img0350.jpg,-28,29,-27
../data/ColorCast/TrainingImages/img0351.jpg,40,18,-28
../data/ColorCast/TrainingImages/img0352.jpg,52,10,-22
../data/ColorCast/TrainingImages/img0353.jpg,-36,14,-39
../data/ColorCast/TrainingImages/img0354.jpg,14,-22,-35
../data/ColorCast/TrainingImages/img0355.jpg,40,0,4
../data/ColorCast/TrainingImages/img0356.jpg,-25,-3,-36
../data/ColorCast/TrainingImages/img0357.jpg,1,-56,-38
../data/ColorCast/TrainingImages/img0358.jpg,13,-49,1
../data/ColorCast/TrainingImages/img0359.jpg,-20,-25,8
../data/ColorCast/TrainingImages/img0360.jpg,-10,-3,-42
../data/ColorCast/TrainingImages/img0361.jpg,-36,-33,-40
../data/ColorCast/TrainingImages/img0362.jpg,3,17,17
../data/ColorCast/TrainingImages/img0363.jpg,58,-62,-41
../data/ColorCast/TrainingImages/img0364.jpg,-3,42,12
../data/ColorCast/TrainingImages/img0365.jpg,4,-31,-4
../data/ColorCast/TrainingImages/img0366.jpg,22,-6,-27
../data/ColorCast/TrainingImages/img0367.jpg,7,9,19
../data/ColorCast/TrainingImages/img0368.jpg,-18,-16,-6
../data/ColorCast/TrainingImages/img0369.jpg,-9,-14,-5
../data/ColorCast/TrainingImages/img0370.jpg,0,4,1
../data/ColorCast/TrainingImages/img0371.jpg,-10,33,7
../data/ColorCast/TrainingImages/img0372.jpg,43,42,20
../data/ColorCast/TrainingImages/img0373.jpg,15,36,-37
../data/ColorCast/TrainingImages/img0374.jpg,4,20,-64
../data/ColorCast/TrainingImages/img0375.jpg,27,-43,27
../data/ColorCast/TrainingImages/img0376.jpg,8,-36,-20
../data/ColorCast/TrainingImages/img0377.jpg,32,-23,35
../data/ColorCast/TrainingImages/img0378.jpg,-24,17,-7
../data/ColorCast/TrainingImages/img0379.jpg,27,21,17
../data/ColorCast/TrainingImages/img0380.jpg,-2,22,-10
../data/ColorCast/TrainingImages/img0381.jpg,-49,-30,0
../data/ColorCast/TrainingImages/img0382.jpg,-24,-25,14
../data/ColorCast/TrainingImages/img0383.jpg,-30,-14,0
../data/ColorCast/TrainingImages/img0384.jpg,25,23,-15
../data/ColorCast/TrainingImages/img0385.jpg,-27,-35,-15
../data/ColorCast/TrainingImages/img0386.jpg,-39,-28,-12
../data/ColorCast/TrainingImages/img0387.jpg,-37,-31,-5
../data/ColorCast/TrainingImages/img0388.jpg,23,-17,12
../data/ColorCast/TrainingImages/img0389.jpg,36,-35,28
../data/ColorCast/TrainingImages/img0390.jpg,-43,22,-9
../data/ColorCast/TrainingImages/img0391.jpg,13,45,-21
../data/ColorCast/TrainingImages/img0392.jpg,17,0,77
../data/ColorCast/TrainingImages/img0393.jpg,5,6,-24
../data/ColorCast/TrainingImages/img0394.jpg,21,-29,24
../data/ColorCast/TrainingImages/img0395.jpg,74,-27,27
../data/ColorCast/TrainingImages/img0396.jpg,-6,0,17
../data/ColorCast/TrainingImages/img0397.jpg,3,-39,7
../data/ColorCast/TrainingImages/img0398.jpg,22,18,-9
../data/ColorCast/TrainingImages/img0399.jpg,0,-3,-15
../data/ColorCast/TrainingImages/img0400.jpg,-21,23,22
../data/ColorCast/TrainingImages/img0401.jpg,24,44,20
../data/ColorCast/TrainingImages/img0402.jpg,-14,11,36
../data/ColorCast/TrainingImages/img0403.jpg,37,32,-14
../data/ColorCast/TrainingImages/img0404.jpg,9,-35,-16
../data/ColorCast/TrainingImages/img0405.jpg,22,27,-15
../data/ColorCast/TrainingImages/img0406.jpg,2,-15,-41
../data/ColorCast/TrainingImages/img0407.jpg,27,22,2
../data/ColorCast/TrainingImages/img0408.jpg,-30,-6,-9
../data/ColorCast/TrainingImages/img0409.jpg,-13,-43,-24
../data/ColorCast/TrainingImages/img0410.jpg,8,-13,-14
../data/ColorCast/TrainingImages/img0411.jpg,22,-10,32
../data/ColorCast/TrainingImages/img0412.jpg,6,-5,4
../data/ColorCast/TrainingImages/img0413.jpg,-40,-1,23
../data/ColorCast/TrainingImages/img0414.jpg,-2,-27,21
../data/ColorCast/TrainingImages/img0415.jpg,9,20,2
../data/ColorCast/TrainingImages/img0416.jpg,-29,29,30
../data/ColorCast/TrainingImages/img0417.jpg,16,31,54
../data/ColorCast/TrainingImages/img0418.jpg,-3,3,-43
../data/ColorCast/TrainingImages/img0419.jpg,0,-13,27
../data/ColorCast/TrainingImages/img0420.jpg,-12,-41,24
../data/ColorCast/TrainingImages/img0421.jpg,46,-36,-1
../data/ColorCast/TrainingImages/img0422.jpg,-4,29,-10
../data/ColorCast/TrainingImages/img0423.jpg,-18,14,-16
../data/ColorCast/TrainingImages/img0424.jpg,18,12,-15
../data/ColorCast/TrainingImages/img0425.jpg,-20,11,19
../data/ColorCast/TrainingImages/img0426.jpg,50,-28,2
../data/ColorCast/TrainingImages/img0427.jpg,-26,-6,-5
../data/ColorCast/TrainingImages/img0428.jpg,-15,20,26
../data/ColorCast/TrainingImages/img0429.jpg,18,-12,-21
../data/ColorCast/TrainingImages/img0430.jpg,22,-5,11
../data/ColorCast/TrainingImages/img0431.jpg,-48,2,11
../data/ColorCast/TrainingImages/img0432.jpg,-17,-14,-5
../data/ColorCast/TrainingImages/img0433.jpg,29,-26,-41
../data/ColorCast/TrainingImages/img0434.jpg,37,32,4
../data/ColorCast/TrainingImages/img0435.jpg,37,-31,-18
../data/ColorCast/TrainingImages/img0436.jpg,-67,5,34
../data/ColorCast/TrainingImages/img0437.jpg,5,-28,6
../data/ColorCast/TrainingImages/img0438.jpg,10,-9,10
../data/ColorCast/TrainingImages/img0439.jpg,29,-7,-10
../data/ColorCast/TrainingImages/img0440.jpg,4,62,21
../data/ColorCast/TrainingImages/img0441.jpg,29,17,40
../data/ColorCast/TrainingImages/img0442.jpg,27,-16,-24
../data/ColorCast/TrainingImages/img0443.jpg,-15,-21,-21
